date,temperature,humidity,dc_output,energy_kWh
2015-02-21,145.99999999999997,2163.0,3011.327,9.160000000000002
2015-02-22,114.1,2000.0,20747.292,15.84
2015-02-23,107.69999999999999,2036.0,21822.801,12.190000000000001
2015-02-24,124.0,2072.0,22472.837,15.540000000000001
2015-02-25,154.6,2132.0,19818.934999999998,20.815000000000005
2015-02-26,176.79999999999998,2142.0,22124.635000000002,14.35
2015-02-27,166.10000000000002,2172.0,8374.545,10.690000000000003
2015-02-28,119.60000000000001,1359.0,17744.233,12.72
2015-03-01,100.10000000000001,1843.0,20422.488999999998,21.619999999999997
2015-03-02,132.89999999999998,2025.0,2164.0879999999997,13.070000000000002
2015-03-03,99.80000000000001,1176.0,4285.888,14.140000000000002
2015-03-04,90.10000000000001,1536.0,16154.375000000002,14.75
2015-03-05,130.49999999999997,1663.0,3435.444,10.970000000000002
2015-03-06,153.4,2062.0,12087.714999999998,8.440000000000001
2015-03-07,154.9,2164.0,6217.039000000001,21.86
2015-03-08,137.10000000000002,2166.0,3496.8289999999997,16.16
2015-03-09,129.70000000000002,2322.0,5469.156999999999,9.57
2015-03-10,142.70000000000002,2359.0,3826.746,15.8
2015-03-11,263.0,2078.0,3240.2720000000004,11.12
2015-03-12,294.09999999999997,1991.0,2700.451,9.530000000000001
2015-03-13,244.70000000000002,2083.0,2398.553,13.95
2015-03-14,257.09999999999997,2070.0,7121.446,14.879999999999997
2015-03-15,179.90000000000003,2204.0,15536.202,20.189999999999998
2015-03-16,171.20000000000005,2016.0,14996.571999999998,10.79
2015-03-17,187.3,1909.0,19467.977,13.66
2015-03-18,244.0,1766.0,11114.692,13.950000000000003
2015-03-19,238.6,2077.0,3043.508,12.630000000000003
2015-03-20,240.99999999999997,2206.0,10669.161,9.360000000000001
2015-03-21,232.79999999999998,2100.0,4907.784,12.86
2015-03-22,198.4,1983.0,17397.744,18.6
2015-03-23,188.70000000000007,2183.0,5523.104,13.660000000000002
2015-03-24,207.5,1958.0,14477.610999999999,13.37
2015-03-25,213.9,2256.0,13579.899000000001,12.84
2015-03-26,313.1,2073.0,17755.12,10.095
2015-03-27,292.8,2011.0,21984.913999999997,8.75
2015-03-28,263.0,1869.0,15309.761000000004,12.645
2015-03-29,225.7,2209.0,16657.420999999995,23.624999999999996
2015-03-30,305.99999999999994,1937.0,11360.074999999999,14.360000000000003
2015-03-31,218.50000000000003,1799.0,23079.605,10.300000000000002
2015-04-01,197.40000000000003,1872.0,6702.0960000000005,16.11
2015-04-02,195.7,1840.0,11923.306,9.21
2015-04-03,201.99999999999997,1829.0,9614.098,15.83
2015-04-04,176.70000000000002,1884.0,8110.977000000001,10.45
2015-04-05,173.8,1911.0,16930.546000000002,21.869999999999997
2015-04-06,203.89999999999998,1737.0,21513.220999999998,17.21
2015-04-07,211.20000000000002,1879.0,14758.317000000003,11.070000000000002
2015-04-08,220.8,1742.0,20787.805999999997,11.594999999999999
2015-04-09,248.2,1607.0,15110.799,13.145
2015-04-10,231.7,1803.0,9331.839000000002,11.37
2015-04-11,200.90000000000006,1614.0,19862.503999999997,12.165000000000001
2015-04-12,196.50000000000003,1600.0,15802.395,22.939999999999998
2015-04-13,175.7,2015.0,15351.567,15.280000000000001
2015-04-14,192.40000000000003,1742.0,23100.228,9.870000000000001
2015-04-15,199.1,1735.0,24188.99,13.780000000000001
2015-04-16,229.9,1704.0,14364.687,13.83
2015-04-17,269.19999999999993,1870.0,25234.701999999994,12.489999999999998
2015-04-18,260.4,1908.0,11416.616,14.709999999999999
2015-04-19,264.9,1935.0,24277.543,14.68
2015-04-20,295.79999999999995,1822.0,25353.459999999995,14.380000000000003
2015-04-21,261.3,1996.0,23785.735,18.73
2015-04-22,241.7,1403.0,19599.810999999998,11.15
2015-04-23,192.19999999999996,1841.0,4129.2,12.190000000000001
2015-04-24,182.4,1968.0,18870.328999999998,11.42
2015-04-25,197.89999999999998,1902.0,23705.920000000002,12.919999999999998
2015-04-26,244.4,1662.0,25422.54,20.759999999999998
2015-04-27,299.9,2098.0,26017.217,15.609999999999996
2015-04-28,290.29999999999995,1904.0,24545.638999999996,12.430000000000003
2015-04-29,266.79999999999995,1735.0,25638.315,10.629999999999997
2015-04-30,271.2,1720.0,25240.872,18.86
2015-05-01,293.90000000000003,1826.0,24181.780000000002,8.590000000000002
2015-05-02,262.6,1745.0,19093.691,15.64
2015-05-03,268.79999999999995,1796.0,10625.498000000001,17.34
2015-05-04,283.0,1618.0,9376.253999999999,9.75
2015-05-05,254.6,1736.0,23861.513000000003,10.200000000000001
2015-05-06,261.0,1858.0,25142.079,8.42
2015-05-07,298.79999999999995,1802.0,20252.592999999997,9.649999999999999
2015-05-08,338.6,1759.0,16007.248999999998,6.7600000000000025
2015-05-09,370.8,1519.0,23006.743999999995,10.01
2015-05-10,357.90000000000003,1727.0,18157.612999999998,23.900000000000006
2015-05-11,325.2999999999999,1895.0,18660.853999999996,11.870000000000001
2015-05-12,356.6,1813.0,22670.336,12.55
2015-05-13,329.8,1923.0,23308.738,13.729999999999999
2015-05-14,322.6,1910.0,11733.576,11.78
2015-05-15,354.9,1914.0,17508.737,11.690000000000001
2015-05-16,353.19999999999993,1873.0,23423.311000000005,11.390000000000002
2015-05-17,347.6,1874.0,20244.024000000005,11.23
2015-05-18,394.00000000000006,2020.0,25546.134,11.77
2015-05-19,392.30000000000007,1898.0,21951.843999999994,10.31
2015-05-20,374.7,1936.0,9345.353000000001,13.110000000000001
2015-05-21,413.0,1824.0,17634.311,10.24
