date,temperature,humidity,dc_output,energy_kWh
2017-05-15,219.2,2062.0,17508.737,36.169999999999995
2017-05-16,218.0,1945.0,23423.311000000005,32.269999999999996
2017-05-17,285.90000000000003,1793.0,20244.024000000005,27.640000000000004
2017-05-18,322.7,1731.0,25546.134,21.71
2017-05-19,331.4,1784.0,21951.843999999994,11.639999999999999
2017-05-20,346.99999999999994,1867.0,9345.353000000001,9.25
2017-05-21,370.69999999999993,1895.0,17634.311,14.96
2017-05-22,398.4000000000001,1714.0,10764.746,17.68
2017-05-23,391.40000000000003,1626.0,23088.302,19.369999999999994
2017-05-24,302.70000000000005,1679.0,10659.312999999998,13.350000000000001
2017-05-25,330.79999999999995,1843.0,15746.307999999999,13.234999999999998
2017-05-26,372.3,1818.0,22331.861999999997,13.430000000000001
2017-05-27,409.09999999999997,1698.0,24504.703999999998,20.08
2017-05-28,450.3,1574.0,19413.014999999996,20.629999999999995
2017-05-29,421.29999999999995,1710.0,25270.438,21.3
2017-05-30,316.00000000000006,2054.0,9681.515,10.239999999999997
2017-05-31,333.59999999999997,1995.0,24498.446999999996,14.26
2017-06-01,355.0000000000001,1953.0,21955.654,16.56
2017-06-02,355.8,1868.0,20822.332,7.550000000000001
2017-06-03,343.1,1761.0,20913.483,15.730000000000002
2017-06-04,333.1,1599.0,20356.163999999997,7.999999999999999
2017-06-05,332.49999999999994,1587.0,12769.23,6.710000000000002
2017-06-06,428.99999999999994,1454.0,8843.811000000003,17.35
2017-06-07,437.69999999999993,1497.0,8570.593,14.150000000000004
2017-06-08,334.90000000000003,2010.0,9502.861,13.73
2017-06-09,318.1,1663.0,10872.747000000001,8.46
2017-06-10,335.7,1764.0,14685.188,10.64
2017-06-11,356.3999999999999,1799.0,8358.264,9.349999999999998
2017-06-12,387.8,1741.0,18421.588000000003,13.22
2017-06-13,318.4,1760.0,14592.677999999998,8.740000000000002
2017-06-14,319.8,1618.0,11658.853000000001,8.24
2017-06-15,318.9,2039.0,21376.329999999998,11.379999999999999
2017-06-16,379.90000000000003,1717.0,25639.269000000004,11.04
2017-06-17,330.3,1739.0,24641.094999999998,11.459999999999997
2017-06-18,325.30000000000007,2156.0,5857.021,7.460000000000003
2017-06-19,363.7,2183.0,17436.733,11.669999999999998
2017-06-20,400.2000000000001,1973.0,24834.104,9.969999999999999
2017-06-21,368.4000000000001,1708.0,24296.471999999998,9.860000000000003
2017-06-22,374.8,1758.0,23943.231,8.22
2017-06-23,411.99999999999994,1746.0,23162.179,6.210000000000001
2017-06-24,461.20000000000005,1698.0,16249.903999999999,18.650000000000002
2017-06-25,491.6000000000001,1717.0,24850.154,21.189999999999994
2017-06-26,433.1,1692.0,24776.643,21.470000000000002
2017-06-27,394.20000000000005,1731.0,23846.002,8.749999999999998
2017-06-28,401.8,1781.0,23741.693,12.32
2017-06-29,429.00000000000006,1763.0,23610.266,14.699999999999998
2017-06-30,451.3999999999999,1803.0,12210.520000000002,20.85
2017-07-01,416.79999999999995,1691.0,21535.221999999998,12.0
2017-07-02,440.3999999999999,1613.0,22173.271999999997,15.029999999999998
2017-07-03,414.1999999999999,1612.0,19815.642,9.770000000000001
2017-07-04,413.0,1729.0,19762.231,12.269999999999998
2017-07-05,454.00000000000006,1668.0,24901.744000000006,23.369999999999997
2017-07-06,464.8,1619.0,22543.489999999998,15.72
2017-07-07,450.40000000000003,1464.0,4497.615,14.355
2017-07-08,430.40000000000003,1695.0,19640.834000000003,18.04
2017-07-09,455.4000000000001,1675.0,24914.797,13.42
2017-07-10,429.8,1722.0,23589.478,9.340000000000002
2017-07-11,413.3999999999999,1728.0,24093.588,11.98
2017-07-12,435.40000000000003,1547.0,23995.102000000006,8.98
2017-07-13,443.00000000000006,1596.0,18464.096999999998,6.51
2017-07-14,424.6000000000001,1636.0,11458.009000000002,11.75
2017-07-15,447.4,1483.0,24391.016999999996,9.450000000000001
2017-07-16,427.70000000000005,1469.0,24062.063000000006,11.35
2017-07-17,429.5,1650.0,22124.716999999997,7.470000000000001
2017-07-18,450.49999999999994,1612.0,21734.324000000004,13.82
2017-07-19,457.10000000000014,1346.0,19379.419,14.860000000000003
2017-07-20,457.69999999999993,1611.0,24473.262000000002,9.19
2017-07-21,417.3,1762.0,24355.054,10.339999999999996
2017-07-22,437.80000000000007,1971.0,23730.046000000002,8.470000000000002
2017-07-23,450.50000000000006,1889.0,23195.219,8.46
2017-07-24,442.0,1840.0,22755.663,18.42
2017-07-25,464.0,1804.0,8523.081000000002,21.12
2017-07-26,462.7,1623.0,8314.913,18.54
2017-07-27,425.4,1673.0,22336.813000000006,10.36
2017-07-28,419.4,1738.0,6327.021000000001,10.17
2017-07-29,458.9000000000001,1495.0,17373.964,18.61
2017-07-30,465.8999999999999,1710.0,16749.197,25.639999999999993
2017-07-31,462.1,1688.0,24327.321000000004,19.44
2017-08-01,479.6,1822.0,14003.502,15.969999999999999
2017-08-02,483.20000000000005,1822.0,24405.29,23.54
2017-08-03,484.79999999999995,1809.0,24267.717999999997,29.349999999999994
2017-08-04,449.0,1918.0,23640.260000000006,27.610000000000007
2017-08-05,468.1000000000001,1820.0,23882.023999999998,23.17
2017-08-06,448.3,1962.0,18992.569,24.429999999999993
2017-08-07,454.49999999999994,1990.0,18743.038,23.51
2017-08-08,468.9999999999999,2060.0,23345.451,27.289999999999996
2017-08-09,482.0000000000001,1932.0,21153.695,23.05
2017-08-10,495.2000000000001,1880.0,9109.604000000001,29.319999999999993
2017-08-11,472.6,1851.0,11418.423999999997,19.590000000000003
