date,temperature,pressure,humidity,dc_output,ac_output,weather,energy_kWh
2016-06-01 00:00:00,16.0,101.31,77.0,0.0,0.0,Cloudy,0.08
2016-06-01 01:00:00,14.9,101.28,93.0,0.0,0.0,Cloudy,0.07
2016-06-01 02:00:00,15.1,101.26,92.0,0.0,0.0,Cloudy,0.06
2016-06-01 03:00:00,15.1,101.25,86.0,0.0,0.0,Cloudy,0.06
2016-06-01 04:00:00,14.8,101.27,78.0,11.647,0.0,Cloudy,0.07
2016-06-01 05:00:00,14.0,101.23,80.0,124.828,100.254,Mostly Cloudy,0.05
2016-06-01 06:00:00,13.8,101.24,80.0,411.742,381.352,Mostly Cloudy,0.15
2016-06-01 07:00:00,14.6,101.25,72.0,1189.722,1140.032,Mostly Cloudy,0.21
2016-06-01 08:00:00,16.1,101.3,69.0,1962.191,1888.235,Mostly Cloudy,0.08
2016-06-01 09:00:00,16.4,101.31,69.0,2587.427,2490.108,Mostly Cloudy,0.1
2016-06-01 10:00:00,17.8,101.29,65.0,3017.777,2902.441,Mostly Cloudy,0.08
2016-06-01 11:00:00,18.0,101.29,65.0,3173.35,3051.113,Cloudy,0.06
2016-06-01 12:00:00,19.5,101.26,61.0,3272.56,3145.814,Cloudy,0.08
2016-06-01 13:00:00,20.8,101.21,49.0,2925.18,2813.854,Cloudy,0.06
2016-06-01 14:00:00,20.8,101.19,45.0,1733.586,1667.341,Cloudy,0.08
2016-06-01 15:00:00,18.6,101.2,66.0,306.485,278.31,Rain,0.06
2016-06-01 16:00:00,16.5,101.23,78.0,244.558,217.642,Rain,0.08
2016-06-01 17:00:00,16.5,101.21,79.0,654.87,619.002,Rain,0.06
2016-06-01 18:00:00,16.5,101.18,78.0,298.095,270.093,Rain,0.33
2016-06-01 19:00:00,15.6,101.17,90.0,41.636,18.617,Rain,0.17
2016-06-01 20:00:00,15.2,101.11,91.0,0.0,0.0,Cloudy,0.26
2016-06-01 21:00:00,14.8,101.11,93.0,0.0,0.0,Rain,0.36
2016-06-01 22:00:00,14.3,101.11,94.0,0.0,0.0,Rain,0.42
2016-06-01 23:00:00,14.1,101.08,95.0,0.0,0.0,Rain,0.33
2016-06-02 00:00:00,14.2,101.07,96.0,0.0,0.0,Rain,0.29
2016-06-02 01:00:00,14.2,101.05,96.0,0.0,0.0,Rain,0.3
2016-06-02 02:00:00,14.4,101.07,94.0,0.0,0.0,Rain,0.06
2016-06-02 03:00:00,14.4,101.13,91.0,0.0,0.0,Rain,0.03
2016-06-02 04:00:00,14.4,101.17,84.0,9.298,0.0,Rain,0.05
2016-06-02 05:00:00,13.9,101.21,90.0,139.107,114.26,Cloudy,0.05
2016-06-02 06:00:00,13.9,101.26,89.0,428.345,397.597,Cloudy,0.1
2016-06-02 07:00:00,14.6,101.31,87.0,959.08,915.65,Cloudy,0.2
2016-06-02 08:00:00,15.2,101.36,77.0,1295.166,1242.464,Cloudy,0.04
2016-06-02 09:00:00,15.1,101.46,76.0,2014.637,1938.85,Cloudy,0.05
2016-06-02 10:00:00,17.0,101.51,70.0,2386.028,2296.598,Cloudy,0.03
2016-06-02 11:00:00,17.5,101.57,60.0,2567.164,2470.654,Mainly Clear,0.05
2016-06-02 12:00:00,18.5,101.65,59.0,2588.068,2490.722,Mainly Clear,0.05
2016-06-02 13:00:00,19.1,101.72,53.0,2450.517,2358.598,Mainly Clear,0.03
2016-06-02 14:00:00,19.0,101.79,58.0,2116.288,2036.884,Cloudy,0.05
2016-06-02 15:00:00,18.7,101.83,58.0,1741.892,1675.375,Cloudy,0.05
2016-06-02 16:00:00,18.6,101.89,57.0,1213.588,1163.224,Cloudy,0.03
2016-06-02 17:00:00,18.8,101.94,58.0,608.05,573.277,Cloudy,0.05
2016-06-02 18:00:00,17.9,101.96,60.0,266.446,239.089,Cloudy,0.06
2016-06-02 19:00:00,17.2,101.98,63.0,38.658,15.694,Cloudy,0.03
2016-06-02 20:00:00,16.5,102.05,72.0,0.0,0.0,Cloudy,0.66
2016-06-02 21:00:00,16.0,102.06,72.0,0.0,0.0,Cloudy,0.31
2016-06-02 22:00:00,15.7,102.12,75.0,0.0,0.0,Cloudy,0.19
2016-06-02 23:00:00,15.6,102.12,77.0,0.0,0.0,Cloudy,0.23
2016-06-03 00:00:00,14.8,102.12,81.0,0.0,0.0,Cloudy,0.19
2016-06-03 01:00:00,14.8,102.12,80.0,0.0,0.0,Cloudy,0.19
2016-06-03 02:00:00,15.0,102.16,77.0,0.0,0.0,Cloudy,0.05
2016-06-03 03:00:00,14.9,102.2,80.0,0.0,0.0,Cloudy,0.06
2016-06-03 04:00:00,14.9,102.25,80.0,13.704,0.0,Cloudy,0.06
2016-06-03 05:00:00,14.9,102.28,77.0,155.141,129.986,Cloudy,0.05
2016-06-03 06:00:00,14.9,102.32,77.0,465.516,433.958,Cloudy,0.05
2016-06-03 07:00:00,15.3,102.36,76.0,1050.451,1004.595,Cloudy,0.05
2016-06-03 08:00:00,16.2,102.4,73.0,1580.93,1519.586,Mostly Cloudy,0.06
2016-06-03 09:00:00,17.1,102.47,69.0,2044.318,1967.483,Mostly Cloudy,0.29
2016-06-03 10:00:00,18.5,102.48,65.0,2346.624,2258.697,Mostly Cloudy,0.17
2016-06-03 11:00:00,19.3,102.5,63.0,2536.178,2440.899,Mostly Cloudy,0.23
2016-06-03 12:00:00,19.7,102.54,58.0,2521.167,2426.482,Mostly Cloudy,0.81
2016-06-03 13:00:00,20.9,102.54,56.0,2387.428,2297.945,Mostly Cloudy,1.13
2016-06-03 14:00:00,21.3,102.5,61.0,2065.247,1987.67,Mostly Cloudy,0.16
2016-06-03 15:00:00,20.5,102.47,64.0,1663.029,1599.074,Mostly Cloudy,0.13
2016-06-03 16:00:00,21.5,102.42,55.0,1165.972,1116.947,Mostly Cloudy,0.09
2016-06-03 17:00:00,22.0,102.38,59.0,603.977,569.297,Mainly Clear,0.25
2016-06-03 18:00:00,21.6,102.34,59.0,273.119,245.626,Mainly Clear,0.07
2016-06-03 19:00:00,21.1,102.26,61.0,40.682,17.681,Mainly Clear,0.07
2016-06-03 20:00:00,19.5,102.23,76.0,0.0,0.0,Mainly Clear,0.06
2016-06-03 21:00:00,17.4,102.23,84.0,0.0,0.0,Mainly Clear,0.05
2016-06-03 22:00:00,17.3,102.24,82.0,0.0,0.0,Mainly Clear,0.06
2016-06-03 23:00:00,16.9,102.23,84.0,0.0,0.0,Clear,0.06
2016-06-04 00:00:00,16.7,102.22,87.0,0.0,0.0,Clear,0.27
2016-06-04 01:00:00,17.2,102.2,80.0,0.0,0.0,Clear,0.13
2016-06-04 02:00:00,16.2,102.17,88.0,0.0,0.0,Mainly Clear,0.12
2016-06-04 03:00:00,15.9,102.16,91.0,0.0,0.0,Mainly Clear,0.13
2016-06-04 04:00:00,15.9,102.12,89.0,13.406,0.0,Mainly Clear,0.11
2016-06-04 05:00:00,15.6,102.09,93.0,153.994,128.861,Mostly Cloudy,0.06
