date,temperature,pressure,humidity,dc_output,ac_output,weekday,energy_kWh
2019-03-02,45.1,2454.2700000000004,1713.0,2164.0879999999997,1887.615,Saturday,19.48
2019-03-03,52.40000000000001,2462.7000000000007,968.0,4285.888,3948.7920000000004,Sunday,21.610000000000007
2019-03-04,23.4,2461.53,1137.0,16154.375000000002,15485.259,Monday,25.309999999999995
2019-03-05,44.400000000000006,2443.3199999999997,1255.0,3435.444,3122.7519999999995,Tuesday,29.48
2019-03-06,10.699999999999998,2412.31,1852.0,12087.714999999998,11529.649,Wednesday,28.519999999999996
2019-03-07,58.3,2427.9500000000003,2204.0,6217.039000000001,5861.4839999999995,Thursday,38.230000000000004
2019-03-08,60.699999999999996,2436.39,2017.0,3496.8290000000006,3205.523,Friday,14.260000000000003
2019-03-09,55.800000000000004,2442.5899999999992,1928.0,5469.156999999999,5130.853,Saturday,15.310000000000004
2019-03-10,67.10000000000001,2352.69,1754.0,3826.746,3527.1789999999996,Sunday,20.7
2019-03-11,107.3,2441.85,1737.0,3240.2720000000004,2932.272,Monday,39.17
2019-03-12,117.19999999999999,2425.69,2067.0,2700.451,2402.0089999999996,Tuesday,22.12
2019-03-13,139.6,2458.13,1910.0,2398.553,2108.024,Wednesday,18.599999999999998
2019-03-14,154.09999999999997,2468.77,1834.0,7121.446,6709.857,Thursday,19.940000000000005
2019-03-15,174.20000000000002,2466.8400000000006,2071.0,15536.202,14858.229,Friday,13.290000000000001
2019-03-16,164.10000000000002,2461.2700000000004,2049.0,14996.571999999998,14333.637999999999,Saturday,19.969999999999995
2019-03-17,169.3,2462.62,2068.0,19467.977,18652.121,Sunday,9.35
2019-03-18,187.60000000000002,2453.93,1940.0,11114.692,10567.907,Monday,8.95
2019-03-19,210.50000000000003,2442.06,1801.0,3043.508,2733.068,Tuesday,7.35
2019-03-20,218.2,2431.13,1793.0,10669.161,10131.723,Wednesday,10.280000000000001
2019-03-21,267.1,2436.9000000000005,1570.0,4907.784,4551.835999999999,Thursday,7.559999999999999
2019-03-22,291.7,2431.4700000000007,1655.0,17397.744,16655.37,Friday,9.620000000000001
2019-03-23,222.6,2449.94,1959.0,5523.104,5141.8189999999995,Saturday,11.130000000000004
2019-03-24,195.30000000000004,2451.7599999999998,1958.0,14477.610999999999,13824.502000000002,Sunday,8.0
2019-03-25,198.5,2434.8599999999997,2024.0,13579.899000000001,12954.99,Monday,8.16
2019-03-26,222.99999999999994,2439.6200000000003,1886.0,17755.12,17003.785,Tuesday,5.520000000000001
2019-03-27,180.49999999999997,2433.47,1938.0,21984.913999999997,21095.465999999997,Wednesday,7.820000000000001
2019-03-28,244.60000000000005,2446.13,1682.0,15309.761000000004,14649.016000000003,Thursday,7.819999999999999
2019-03-29,225.60000000000002,2462.2300000000005,1779.0,16657.421,15955.188999999998,Friday,14.29
2019-03-30,234.09999999999997,2467.9900000000007,1782.0,11360.074999999999,10823.632000000001,Saturday,8.389999999999999
2019-03-31,218.6,2456.6000000000004,1878.0,23079.605,22132.429,Sunday,6.4399999999999995
2019-04-01,241.0,2440.6400000000003,1850.0,6702.096,6287.2699999999995,Monday,7.81
2019-04-02,260.90000000000003,2422.6700000000005,1587.0,11923.306,11363.69,Tuesday,7.980000000000001
2019-04-03,265.1,2420.67,1970.0,9614.098,9111.426000000001,Wednesday,6.590000000000001
2019-04-04,259.99999999999994,2430.3600000000006,1844.0,8110.977000000001,7646.993000000001,Thursday,10.340000000000002
2019-04-05,265.9,2411.0499999999997,1843.0,16930.546000000002,16196.162999999999,Friday,12.409999999999998
