date,temperature,pressure,humidity,dc_output,ac_output,weekday,energy_kWh
2016-06-09,350.0,2429.3,1470.0,10872.747,10302.511999999999,Thursday,7.26
2016-06-10,336.1,2433.18,1624.0,14685.188,13998.121000000001,Friday,10.39
2016-06-11,325.9,2449.48,1833.0,8358.264,7861.075000000001,Saturday,13.41
2016-06-12,357.8,2455.55,1652.0,18421.588,17606.82,Sunday,7.95
2016-06-13,352.8,2432.92,1662.0,14592.678,13900.964,Monday,9.24
2016-06-14,276.4,2427.68,1800.0,11658.853,11070.072,Tuesday,9.42
2016-06-15,280.4,2432.05,1791.0,21376.329999999998,20464.632,Wednesday,7.63
2016-06-16,319.0,2440.61,1682.0,25639.269,24575.829,Thursday,17.47
2016-06-17,373.1,2447.07,1593.0,24641.095,23617.723,Friday,7.97
2016-06-18,316.2,2447.49,2091.0,5857.021,5421.929,Saturday,10.46
2016-06-19,335.4,2465.7400000000002,1991.0,17436.733,16671.896,Sunday,7.79
2016-06-20,381.3,2450.08,1914.0,24834.104,23801.855,Monday,8.37
2016-06-21,391.8,2453.31,1731.0,24296.472,23281.998,Tuesday,9.459999999999999
2016-06-22,384.7,2441.2,1875.0,23943.231,22950.196,Wednesday,8.38
2016-06-23,363.1,2434.4,2017.0,23162.179,22183.047,Thursday,6.59
2016-06-24,364.6,2448.32,1834.0,16249.904,15512.174,Friday,9.08
2016-06-25,380.1,2457.66,1853.0,24850.154,23819.677,Saturday,18.8
2016-06-26,420.2,2452.65,1908.0,24776.643,23748.993,Sunday,9.8
2016-06-27,470.5,2446.49,1775.0,23846.002,22855.646,Monday,4.79
2016-06-28,431.1,2448.3,1838.0,23741.693,22755.665,Tuesday,3.29
2016-06-29,428.0,2447.57,1824.0,23610.266,22623.075,Wednesday,3.25
2016-06-30,402.9,2449.53,1786.0,12210.52,11590.73,Thursday,3.19
2016-07-01,391.9,2444.36,1768.0,21535.222,20631.121,Friday,3.1
2016-07-02,449.5,2437.01,1708.0,22173.272,21230.587,Saturday,3.21
2016-07-03,431.3,2441.67,1582.0,19815.642,18964.536,Sunday,3.09
2016-07-04,412.8,2443.09,1719.0,19762.231,18902.628,Monday,3.01
2016-07-05,371.7,2442.61,1917.0,24901.744,23874.29,Tuesday,2.94
2016-07-06,402.3,2440.1,1760.0,22543.49,21603.751,Wednesday,2.98
2016-07-07,380.7,2428.63,2024.0,4497.615,4097.138,Thursday,9.99
2016-07-08,421.2,2424.59,1882.0,19640.834,18793.195,Friday,7.57
2016-07-09,403.5,2431.81,1824.0,24914.797,23886.433,Saturday,12.59
2016-07-10,424.40000000000003,2436.41,1731.0,23589.478,22614.758,Sunday,7.14
2016-07-11,396.3,2439.68,1744.0,24093.588,23102.381999999998,Monday,14.98
2016-07-12,427.3,2437.64,1829.0,23995.102,23008.009000000002,Tuesday,5.91
2016-07-13,419.90000000000003,2453.2,1916.0,18464.097,17666.487,Wednesday,6.59
2016-07-14,409.8,2453.64,1827.0,11458.009,10881.817,Thursday,5.92
2016-07-15,413.5,2446.65,1808.0,24391.017,23391.756,Friday,6.62
2016-07-16,429.3,2440.24,1890.0,24062.063000000002,23054.836,Saturday,9.94
2016-07-17,451.1,2433.42,1950.0,22124.717,21180.385,Sunday,10.56
2016-07-18,467.4,2432.48,1821.0,21734.324,20796.749,Monday,11.32
2016-07-19,448.6,2442.1,1786.0,19379.419,18533.222,Tuesday,6.57
2016-07-20,470.8,2444.89,1740.0,24473.262,23448.004,Wednesday,8.09
2016-07-21,468.2,2440.72,1798.0,24355.054,23333.791,Thursday,7.2299999999999995
2016-07-22,469.3,2448.75,1611.0,23730.046,22733.103,Friday,8.14
2016-07-23,426.0,2455.31,1749.0,23195.219,22219.159,Saturday,14.48
2016-07-24,452.0,2444.99,1714.0,22755.663,21786.852,Sunday,12.89
2016-07-25,482.6,2439.39,1844.0,8523.081,8008.325,Monday,6.11
2016-07-26,449.3,2444.29,1857.0,8314.913,7804.621999999999,Tuesday,11.73
2016-07-27,478.0,2444.82,1864.0,22336.813000000002,21393.679,Wednesday,5.42
2016-07-28,491.5,2443.08,1892.0,6327.021,5869.585,Thursday,7.01
2016-07-29,481.59999999999997,2433.45,1862.0,17373.964,16586.245,Friday,12.83
2016-07-30,429.0,2429.29,1680.0,16749.197,15977.641,Saturday,2.63
2016-07-31,413.3,2437.98,1741.0,24327.321,23317.204999999998,Sunday,8.77
2016-08-01,447.4,2439.62,1706.0,14003.502,13335.517,Monday,15.56
2016-08-02,377.7,2443.85,1909.0,24405.29,23394.891,Tuesday,13.18
2016-08-03,403.5,2455.89,1955.0,24267.718,23263.011,Wednesday,11.46
2016-08-04,429.7,2442.15,1914.0,23640.26,22660.151,Thursday,9.21
2016-08-05,432.2,2428.93,1741.0,23882.024,22894.961,Friday,8.77
2016-08-06,389.2,2432.18,1763.0,18992.569,18156.689,Saturday,6.89
2016-08-07,407.3,2428.95,1783.0,18743.038,17919.419,Sunday,7.8
2016-08-08,396.3,2432.88,1935.0,23345.451,22379.629,Monday,17.91
2016-08-09,412.8,2435.74,2036.0,21153.695,20246.351,Tuesday,6.33
2016-08-10,445.9,2442.09,1897.0,9109.604,8598.298,Wednesday,7.19
2016-08-11,451.0,2445.63,1933.0,11418.424,10837.69,Thursday,5.61
2016-08-12,473.09999999999997,2442.24,1929.0,21319.659,20411.378,Friday,6.46
2016-08-13,485.7,2435.77,1909.0,23139.054,22181.994,Saturday,8.41
2016-08-14,471.5,2435.9,1758.0,22928.015,21998.755,Sunday,14.82
2016-08-15,457.1,2441.02,1868.0,22917.565,21987.112,Monday,6.5200000000000005
2016-08-16,452.9,2442.57,1865.0,5698.781,5300.745,Tuesday,6.39
2016-08-17,449.8,2441.13,1821.0,13778.345,13145.272,Wednesday,5.87
2016-08-18,467.7,2439.71,1795.0,23220.814,22276.657,Thursday,7.24
2016-08-19,500.0,2436.72,1714.0,22321.93,21416.366,Friday,6.79
2016-08-20,476.9,2427.36,1838.0,21450.803,20571.926,Saturday,10.81
2016-08-21,433.6,2422.05,1820.0,23120.633,22185.823,Sunday,17.2
2016-08-22,416.8,2439.97,1552.0,18427.221,17649.855,Monday,6.37
2016-08-23,412.3,2451.05,1786.0,19322.492000000002,18509.221,Tuesday,5.85
2016-08-24,453.0,2453.19,1843.0,23478.286,22534.101,Wednesday,7.34
2016-08-25,486.9,2442.95,1706.0,20239.409,19413.847999999998,Thursday,6.140000000000001
2016-08-26,492.9,2427.4,1625.0,22462.045000000002,21538.396,Friday,6.18
2016-08-27,465.0,2420.2400000000002,1657.0,18510.716,17706.981,Saturday,9.19
2016-08-28,389.5,2441.1,1829.0,16195.465,15489.48,Sunday,10.65
2016-08-29,424.8,2437.67,1886.0,15526.313,14817.255,Monday,6.9
2016-08-30,421.2,2435.09,1786.0,9320.089,8821.347,Tuesday,10.55
2016-08-31,408.3,2432.34,1999.0,21093.149,20220.555,Wednesday,5.82
2016-09-01,372.1,2433.32,1998.0,20371.868,19531.977,Thursday,6.53
2016-09-02,354.4,2431.87,2028.0,15397.235,14708.485999999999,Friday,5.37
2016-09-03,349.5,2436.4,1997.0,18584.671,17802.828999999998,Saturday,7.1
2016-09-04,354.0,2434.88,1960.0,5114.625,4733.233,Sunday,13.72
2016-09-05,332.8,2435.62,1954.0,21824.219,20926.124,Monday,9.53
2016-09-06,351.0,2435.01,2027.0,16833.804,16126.994,Tuesday,6.26
2016-09-07,353.2,2445.16,2064.0,23202.987,22272.894,Wednesday,7.74
2016-09-08,376.3,2453.5,1921.0,16261.938999999998,15551.4,Thursday,6.7
2016-09-09,358.0,2461.93,1848.0,19137.22,18333.060999999998,Friday,6.21
2016-09-10,407.2,2445.04,1752.0,12240.568000000001,11667.130000000001,Saturday,11.31
2016-09-11,367.8,2447.07,1811.0,14555.795,13909.03,Sunday,4.93
