date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2016-06-01,0,0,0,0,0,0,1,389.8000000000001,2429.3400000000006,1845.0,21955.654,20984.208,3.3600000000000003
2016-06-02,0,0,0,0,1,0,0,390.4,2438.28,1772.0,20822.332,19928.935999999998,2.9900000000000007
2016-06-03,1,0,0,0,0,0,0,430.3,2456.04,1697.0,20913.483,20015.926,4.389999999999999
2016-06-04,0,0,1,0,0,0,0,446.3,2444.6200000000003,1920.0,20356.163999999997,19474.574000000004,2.380000000000001
2016-06-05,0,0,0,1,0,0,0,464.39999999999986,2327.2799999999997,1716.0,10677.876,10122.026,4.3999999999999995
2016-06-06,0,1,0,0,0,0,0,463.89999999999986,2426.66,1726.0,8843.811000000002,8333.064999999999,2.2600000000000002
2016-06-07,0,0,0,0,0,1,0,427.09999999999997,2420.9100000000003,1761.0,8570.593,8068.888999999999,3.9000000000000004
2016-06-08,0,0,0,0,0,0,1,375.59999999999997,2421.3099999999995,1587.0,9502.861,8971.876,2.64
2016-06-09,0,0,0,0,1,0,0,350.0,2429.2999999999997,1470.0,10872.747000000001,10302.511999999997,2.2700000000000005
2016-06-10,1,0,0,0,0,0,0,336.1,2433.18,1624.0,14685.188,13998.121,3.7600000000000002
2016-06-11,0,0,1,0,0,0,0,325.9,2449.48,1833.0,8358.264,7861.075,5.15
2016-06-12,0,0,0,1,0,0,0,357.79999999999995,2455.55,1652.0,18421.588000000003,17606.82,4.39
2016-06-13,0,1,0,0,0,0,0,352.80000000000007,2432.9199999999996,1662.0,14592.677999999998,13900.964000000002,4.45
2016-06-14,0,0,0,0,0,1,0,276.4,2427.6800000000003,1800.0,11658.853000000001,11070.072,9.83
2016-06-15,0,0,0,0,0,0,1,280.3999999999999,2432.05,1791.0,21376.329999999998,20464.632,7.710000000000001
2016-06-16,0,0,0,0,1,0,0,319.0,2440.609999999999,1682.0,25639.269000000004,24575.829,4.030000000000001
2016-06-17,1,0,0,0,0,0,0,373.1,2447.0699999999997,1593.0,24641.094999999998,23617.723,6.86
2016-06-18,0,0,1,0,0,0,0,316.20000000000005,2447.49,2091.0,5857.021,5421.929000000001,4.87
