date,temperature,humidity,pressure,dc_output,ac_output,energy_kWh
2019-03-06,10.699999999999998,1852.0,2412.31,12087.714999999998,11529.649,4.2
2019-03-07,58.3,2204.0,2427.9500000000003,6217.039000000001,5861.4839999999995,1.9900000000000009
2019-03-08,60.699999999999996,2017.0,2436.39,3496.8290000000006,3205.523,10.370000000000003
2019-03-09,55.800000000000004,1928.0,2442.5899999999992,5469.156999999999,5130.853,2.14
2019-03-10,67.10000000000001,1754.0,2352.69,3826.746,3527.1789999999996,13.850000000000005
2019-03-11,107.3,1737.0,2441.85,3240.2720000000004,2932.272,11.05
2019-03-12,117.19999999999999,2067.0,2425.69,2700.451,2402.0089999999996,20.8
2019-03-13,139.6,1910.0,2458.13,2398.553,2108.024,54.25
2019-03-14,154.09999999999997,1834.0,2468.77,7121.446,6709.857,55.160000000000004
2019-03-15,174.20000000000002,2071.0,2466.8400000000006,15536.202,14858.229,34.47
2019-03-16,164.10000000000002,2049.0,2461.2700000000004,14996.571999999998,14333.637999999999,46.64
2019-03-17,169.3,2068.0,2462.62,19467.977,18652.121,44.739999999999995
2019-03-18,187.60000000000002,1940.0,2453.93,11114.692,10567.907,26.880000000000003
2019-03-19,210.50000000000003,1801.0,2442.06,3043.508,2733.068,6.549999999999999
2019-03-20,218.2,1793.0,2431.13,10669.161,10131.723,32.279999999999994
2019-03-21,267.1,1570.0,2436.9000000000005,4907.784,4551.835999999999,5.69
2019-03-22,291.7,1655.0,2431.4700000000007,17397.744,16655.37,10.53
2019-03-23,222.6,1959.0,2449.94,5523.104,5141.8189999999995,25.790000000000003
2019-03-24,195.30000000000004,1958.0,2451.7599999999998,14477.610999999999,13824.502000000002,30.590000000000007
2019-03-25,198.5,2024.0,2434.8599999999997,13579.899000000001,12954.99,26.57
2019-03-26,222.99999999999994,1886.0,2439.6200000000003,17755.12,17003.785,23.110000000000003
2019-03-27,180.49999999999997,1938.0,2433.47,21984.913999999997,21095.465999999997,28.470000000000002
2019-03-28,244.60000000000005,1682.0,2446.13,15309.761000000004,14649.016000000003,29.679999999999996
2019-03-29,225.60000000000002,1779.0,2462.2300000000005,16657.421,15955.188999999998,28.759999999999998
2019-03-30,234.09999999999997,1782.0,2467.9900000000007,11360.074999999999,10823.632000000001,13.140000000000002
2019-03-31,218.6,1878.0,2456.6000000000004,23079.605,22132.429,25.049999999999997
2019-04-01,241.0,1850.0,2440.6400000000003,6702.096,6287.2699999999995,10.7
