date,temperature,humidity,pressure,dc_output,ac_output,energy_kWh
2015-09-29,316.70000000000005,1873,2416.0400000000004,8123.338000000001,7668.7880000000005,27.299999999999997
2015-09-30,264.59999999999997,1844,2217.19,8402.277,7976.858000000001,25.790000000000003
2015-10-01,294.0,2050,2422.8300000000004,4722.887,4360.704,24.740000000000002
2015-10-02,276.1,2212,2430.33,13827.561,13203.912999999999,31.23
2015-10-03,297.29999999999995,1646,2427.47,22687.773,21766.317999999996,33.699999999999996
2015-10-04,341.1,1330,2417.5599999999995,21424.524,20548.415999999997,35.9
2015-10-05,317.4,1620,2412.1499999999996,10461.192000000001,9941.577000000001,28.68
2015-10-06,300.8,1958,2418.31,17706.588000000003,16970.517999999996,25.369999999999997
2015-10-07,300.69999999999993,2311,2428.5700000000006,16278.310000000001,15571.534,29.580000000000002
2015-10-08,315.4,2318,2428.39,6899.857000000001,6486.432000000001,22.01
2015-10-09,328.6,2218,2409.8700000000003,4469.273,4118.790000000001,27.52
2015-10-10,328.8,2215,2395.11,4069.512,3736.994,22.055
2015-10-11,299.5,2031,2428.8400000000006,17820.610999999997,17062.61,42.06
2015-10-12,287.8,2210,2425.33,14901.572000000002,14240.217,42.92999999999999
2015-10-13,276.1,2136,2439.42,4465.186000000001,4127.866999999999,45.679999999999986
2015-10-14,243.79999999999993,2153,2439.4300000000003,15312.461999999998,14657.410999999998,31.34999999999999
2015-10-15,309.09999999999997,1633,2425.4500000000007,5026.155,4678.147000000001,40.389999999999986
2015-10-16,343.40000000000003,1522,2414.2500000000005,12222.225,11652.66,34.300000000000004
2015-10-17,306.2,2000,2410.65,3154.91,2854.1989999999996,17.09
2015-10-18,292.70000000000005,2256,2418.5299999999997,3467.896,3168.57,18.37
2015-10-19,283.90000000000003,2328,2420.16,3318.8529999999996,3024.326,21.039999999999996
2015-10-20,251.20000000000005,2216,2439.9,7725.567,7311.165999999999,33.53000000000001
2015-10-21,227.30000000000007,2334,2432.0699999999993,9461.082,8993.740999999998,46.669999999999995
2015-10-22,220.6,2181,2441.0699999999997,5585.745999999999,5231.232,44.25
2015-10-23,217.80000000000007,2181,2434.54,8401.816,7976.264,40.96000000000001
2015-10-24,233.39999999999998,2114,2417.64,16539.951,15858.525,50.30999999999998
2015-10-25,285.20000000000005,1880,2397.75,9562.505000000003,9089.944000000001,33.42999999999999
2015-10-26,259.7,2336,2413.8900000000003,3022.314,2740.3399999999997,28.960000000000004
2015-10-27,281.1,1862,2420.5900000000006,3115.806,2832.24,29.509999999999998
2015-10-28,242.09999999999994,2232,2413.9900000000007,9143.322999999999,8707.062000000002,38.18
2015-10-29,258.9,2335,2419.0899999999992,15725.501999999999,15084.462999999998,32.05
2015-10-30,301.40000000000003,2090,2397.9199999999996,4847.683,4519.034,28.7
2015-10-31,288.99999999999994,2207,2384.7200000000003,2853.0609999999997,2574.5660000000003,22.66
2015-11-01,236.9,2244,2493.83,1567.6469999999997,1319.162,28.89
2015-11-02,203.69999999999996,2030,2414.2000000000007,1522.6850000000002,1284.657,39.37
2015-11-03,180.7,1994,2425.0099999999998,14529.795000000002,13935.796999999999,49.74999999999999
2015-11-04,166.09999999999997,2220,2432.1299999999997,12635.588,12089.562,73.00000000000001
2015-11-05,195.70000000000002,2177,2432.8199999999997,9466.239000000001,9018.242999999999,57.49
2015-11-06,210.60000000000002,2242,2437.77,3615.958,3329.0049999999997,59.14999999999999
2015-11-07,239.0,2251,2407.9500000000003,7320.286999999999,6925.2699999999995,51.07
2015-11-08,199.5,2175,2405.0700000000006,3575.4149999999995,3291.3819999999996,68.74
2015-11-09,187.59999999999997,2117,2417.2799999999997,4711.736000000001,4388.4130000000005,65.29999999999998
2015-11-10,135.5,2278,2431.6699999999996,3017.661,2733.692,77.31000000000002
2015-11-11,184.10000000000002,1873,2435.72,9724.795000000002,9257.560000000001,63.95000000000001
2015-11-12,174.9,2216,2423.7599999999998,4877.987,4572.847,70.705
2015-11-13,248.7,2230,2401.4700000000003,6988.232,6606.936,39.9
2015-11-14,181.89999999999992,2289,2399.1800000000003,1712.1549999999997,1476.9850000000001,52.519999999999996
2015-11-15,117.7,2156,2396.9300000000003,2350.641,2116.827,77.28999999999999
2015-11-16,103.7,2122,2315.6699999999996,4455.647000000001,4177.362,95.23999999999998
2015-11-17,209.5,1983,2292.7999999999997,6669.276000000001,6335.492,72.45000000000002
2015-11-18,129.6,1898,2433.8700000000003,4989.994000000001,4683.330999999999,84.34
2015-11-19,132.2,1852,2437.2700000000004,8674.027,8264.384,78.99
2015-11-20,101.6,1892,2461.1,12660.975,12145.123,89.74000000000001
2015-11-21,99.09999999999998,2013,2451.51,8310.423999999999,7930.785999999998,82.60000000000001
2015-11-22,122.1,1999,2430.0000000000005,2461.9359999999997,2213.138,83.18000000000002
2015-11-23,126.10000000000001,2186,2408.3099999999995,1539.7100000000003,1354.5500000000002,81.53999999999999
2015-11-24,101.69999999999997,1463,2010.9399999999998,981.239,807.0699999999999,81.83000000000001
2015-11-25,67.2,1075,1935.4199999999998,1186.2810000000002,1029.899,79.49000000000001
2015-11-26,91.30000000000001,1766,2251.2600000000007,4470.341,4251.814,94.77999999999999
2015-11-27,98.8,2099,2452.98,3775.9929999999995,3535.063,97.58
2015-11-28,86.99999999999999,2155,2444.1800000000003,3503.965,3276.0580000000004,101.70000000000003
2015-11-29,52.90000000000001,2227,2436.1600000000003,7281.9039999999995,6952.2119999999995,117.89999999999998
2015-11-30,62.0,2184,2427.88,1443.416,1260.1860000000001,109.98
2015-12-01,172.70000000000005,2115,2422.06,7402.285000000001,7058.040000000001,82.91
2015-12-02,191.70000000000005,2169,2413.59,1671.0510000000002,1483.197,69.38000000000001
2015-12-03,225.10000000000002,2087,2375.6400000000003,4946.929,4672.842,71.3
2015-12-04,182.79999999999995,2168,2412.0699999999997,1265.1870000000001,1085.485,66.325
2015-12-05,195.00000000000006,2051,2405.040000000001,7391.037,7055.153,88.74999999999999
2015-12-06,229.8,2111,2397.02,10277.354,9865.648,58.699999999999996
2015-12-07,214.00000000000003,2292,2395.51,3462.048,3236.1110000000003,66.87
2015-12-08,244.10000000000002,2235,2389.0299999999997,9302.506,8921.601,61.31999999999998
2015-12-09,200.8,2093,2388.28,2964.0899999999997,2748.943,58.779999999999994
2015-12-10,203.0,1984,2356.379999999999,2168.005,1967.4740000000002,92.35999999999999
2015-12-11,154.7,2101,2387.1200000000003,955.6560000000001,781.991,99.33
2015-12-12,142.89999999999998,2182,2380.7799999999997,919.254,746.281,105.7
2015-12-13,170.6,2115,2379.31,1715.419,1526.1100000000001,95.16000000000001
2015-12-14,93.4,1988,2428.5000000000005,843.965,672.432,99.72
2015-12-15,99.69999999999999,2199,2440.0600000000004,4749.529,4484.188,112.38
2015-12-16,103.19999999999999,1920,2435.88,5636.984,5342.762,110.99000000000001
2015-12-17,106.4,2014,2400.99,3383.148,3153.233,110.78000000000002
2015-12-18,134.3,2152,2391.75,6424.369,6118.725,95.84
2015-12-19,116.2,2178,2404.3699999999994,3187.25,2960.877,112.20000000000002
2015-12-20,138.9,2054,2392.0699999999997,5494.324999999999,5215.666000000001,106.55000000000001
2015-12-21,116.99999999999999,2184,2373.58,3268.033,3043.2280000000005,107.68
2015-12-22,87.20000000000002,2227,2376.3800000000006,1882.977,1690.2250000000001,77.21
2015-12-23,102.49999999999999,2177,2374.9,12635.117999999999,12144.135000000002,83.12
2015-12-24,84.7,2104,2391.75,1388.557,1206.197,76.47000000000001
2015-12-25,76.9,1742,2436.7400000000002,1233.5149999999999,1054.401,81.15
2015-12-26,96.3,1985,2456.12,10043.914,9634.489,83.65
2015-12-27,121.4,1951,2423.359999999999,4007.0339999999997,3762.96,79.43
2015-12-28,97.39999999999996,2121,2429.14,1385.535,1206.498,80.47
2015-12-29,94.7,1883,2433.73,6743.449999999999,6427.44,81.82000000000002
2015-12-30,51.60000000000001,1560,2453.3999999999996,2113.975,1894.185,110.66000000000001
2015-12-31,45.40000000000001,1743,2464.0699999999997,3806.31,3546.863,122.46000000000001
2016-01-01,52.4,1934,2453.0799999999995,4130.735999999999,3863.141,99.71000000000001
2016-01-02,44.599999999999994,2121,2436.8500000000004,13555.077,13020.662999999999,97.11000000000001
2016-01-03,47.900000000000006,2093,2420.58,14369.589999999998,13807.356,94.34
2016-01-04,63.199999999999996,2174,2401.850000000001,14049.7,13474.96,91.00000000000001
2016-01-05,63.9,2177,2288.2400000000002,11507.023000000001,11030.591,88.66000000000001
2016-01-06,127.19999999999999,2176,2391.54,1742.731,1531.454,73.82
2016-01-07,103.99999999999999,2221,2413.1800000000003,3454.2659999999996,3188.676,74.99
2016-01-08,123.4,2176,2423.3799999999997,5990.694,5664.196,70.71
2016-01-09,98.10000000000001,2201,2428.31,1811.7829999999997,1595.497,73.69
2016-01-10,116.39999999999999,1968,2438.23,1137.832,937.8169999999999,73.66000000000001
2016-01-11,115.69999999999999,2040,2427.8799999999997,1152.2079999999999,951.489,84.34000000000002
2016-01-12,174.39999999999998,2218,2408.7599999999998,1910.2230000000002,1689.0919999999996,69.07
2016-01-13,178.49999999999997,2101,2396.7299999999996,1572.8260000000002,1358.342,14.670000000000002
2016-01-14,137.89999999999998,2100,2414.43,1031.291,827.451,57.72
2016-01-15,123.4,2143,2413.2099999999996,1826.2390000000003,1603.333,83.15999999999997
2016-01-16,190.00000000000003,2198,2396.67,985.4930000000002,782.6410000000001,40.60999999999997
2016-01-17,195.49999999999997,2167,2400.08,6354.936,5998.877,34.2
2016-01-18,170.39999999999995,2232,2409.84,9537.596000000001,9096.990000000002,69.46
2016-01-19,148.89999999999998,2198,2401.5499999999997,14153.334999999997,13581.107,70.19
2016-01-20,161.9,2187,2422.8,9165.468,8739.880000000001,76.88
2016-01-21,210.0,2306,2402.32,15387.465,14773.331000000002,51.53
2016-01-22,239.2,2138,2399.25,4253.099,3965.1569999999992,40.43000000000001
2016-01-23,175.90000000000003,2187,2403.5199999999995,5415.161999999999,5092.977000000001,69.91000000000001
2016-01-24,135.5,2125,2426.3500000000004,15335.806,14725.309,72.35000000000001
2016-01-25,159.20000000000002,1957,2437.9800000000005,9141.141,8719.767,74.79
2016-01-26,211.50000000000003,2209,2434.640000000001,4955.909000000001,4639.9310000000005,47.32
2016-01-27,245.2,2284,2424.02,9384.655999999999,8974.151,45.88000000000001
2016-01-28,232.40000000000003,2053,2409.13,4673.355,4393.296,46.449999999999996
2016-01-29,175.10000000000002,2005,2398.750000000001,4937.022,4654.37,66.45
2016-01-30,123.60000000000001,2023,2411.0799999999995,5429.428,5132.535,83.63
2016-01-31,107.1,2208,2420.8100000000004,14483.339,13910.698,80.37
2016-02-01,88.49999999999999,2219,2432.2600000000007,8226.162,7854.699,88.68999999999998
2016-02-02,133.80000000000004,2043,2434.6999999999994,10651.497,10209.954000000002,71.23
2016-02-03,152.9,2055,2422.42,11411.935,10941.779000000002,74.94
2016-02-04,169.60000000000002,2202,2440.1800000000003,10133.477,9694.981,60.61
2016-02-05,213.20000000000002,2031,2425.93,1927.132,1711.819,59.06999999999999
2016-02-06,147.0,2047,2450.8300000000004,1786.157,1573.963,68.96
2016-02-07,155.5,2045,2464.7099999999996,3338.491,3070.393,65.52
2016-02-08,197.2,1954,2456.6200000000003,8757.923999999999,8334.561,52.83
2016-02-09,211.19999999999996,1952,2434.7499999999995,9870.671,9425.425,46.67999999999999
2016-02-10,193.89999999999998,2207,2432.6100000000006,4491.392000000001,4175.01,55.05000000000001
2016-02-11,184.1,2274,2433.4100000000008,17256.694,16570.833,71.21000000000001
2016-02-12,246.8,2054,2424.69,16631.224000000002,15961.141000000001,45.49000000000001
2016-02-13,168.50000000000003,2206,2429.63,18492.488,17748.150999999998,72.10000000000001
2016-02-14,214.89999999999998,2258,2426.8700000000003,20182.489,19387.506,61.68000000000001
2016-02-15,202.39999999999998,2358,2420.7999999999997,19519.218,18727.721999999998,58.12999999999999
2016-02-16,211.50000000000003,2201,2416.7,10145.650000000001,9665.802,53.75000000000001
2016-02-17,190.7,2207,2373.6099999999997,6089.6759999999995,5718.366,64.63
2016-02-18,197.60000000000002,2226,2366.85,9925.914000000002,9462.561,53.90999999999998
2016-02-19,179.0,2089,2393.96,10863.255000000001,10341.773000000001,67.89999999999999
2016-02-20,147.0,1977,2443.0699999999997,17813.36,17080.48,68.10999999999999
2016-02-21,141.49999999999997,1947,2434.74,3011.327,2725.352,85.02000000000001
2016-02-22,130.99999999999997,2154,2451.79,20747.292,19913.495000000003,68.63999999999999
2016-02-23,150.1,1879,2439.29,21822.801,20946.795000000002,71.19999999999999
2016-02-24,185.7,1660,2435.74,22472.837,21572.054000000004,51.00999999999999
2016-02-25,193.29999999999998,1754,2436.37,19818.935000000005,19016.354999999996,64.87
2016-02-26,186.99999999999997,2057,2418.9699999999993,22124.635000000002,21237.498999999996,63.379999999999995
2016-02-27,202.60000000000002,2265,2424.2900000000004,8374.545,7938.599000000001,43.85999999999999
2016-02-28,202.39999999999995,2043,2411.07,17744.233,17007.060000000005,42.099999999999994
2016-02-29,0.0,0,0.0,0.0,0.0,0.0
2016-03-01,193.59999999999997,2153,2392.81,20422.488999999998,19602.389,59.57
2016-03-02,205.79999999999998,2067,2406.6000000000004,2164.0879999999997,1887.615,50.87
2016-03-03,227.70000000000002,2097,2410.98,4285.888,3948.7920000000004,39.010000000000005
2016-03-04,236.4,1898,2399.86,16154.375000000002,15485.259,45.88999999999999
2016-03-05,261.70000000000005,1909,2374.8300000000004,3435.444,3122.7519999999995,33.81999999999999
2016-03-06,233.1,1770,2372.6000000000004,12087.714999999998,11529.649,23.230000000000004
2016-03-07,178.4,2080,2400.0899999999997,6217.039000000001,5861.4839999999995,42.30000000000001
2016-03-08,166.60000000000002,2027,2411.67,3496.8290000000006,3205.523,56.00000000000001
2016-03-09,177.80000000000004,2149,2391.29,5469.156999999999,5130.853,63.44
2016-03-10,224.89999999999998,1937,2385.6099999999997,3826.746,3527.1789999999996,38.2
2016-03-11,185.3,2006,2392.76,3240.2720000000004,2932.272,50.999999999999986
2016-03-12,175.40000000000006,1987,2382.64,2700.451,2402.0089999999996,48.629999999999995
2016-03-13,143.9,1931,2270.42,2398.553,2108.024,63.36999999999999
2016-03-14,143.29999999999998,1987,2403.15,7121.446,6709.857,55.800000000000004
2016-03-15,150.70000000000002,1947,2435.239999999999,15536.202,14858.229,50.19999999999999
2016-03-16,130.1,1896,2446.7699999999995,14996.571999999998,14333.637999999999,49.99
2016-03-17,166.6,1724,2446.38,19467.977,18652.121,67.72999999999999
2016-03-18,229.3,1212,2426.82,11114.692,10567.907,47.65
2016-03-19,251.90000000000003,1342,2421.06,3043.508,2733.068,36.63
2016-03-20,229.39999999999998,1977,2403.6099999999997,10669.161,10131.723,34.04
2016-03-21,202.50000000000003,2196,2397.13,4907.784,4551.835999999999,45.19000000000001
2016-03-22,203.70000000000002,1994,2420.09,17397.744,16655.37,37.00000000000001
2016-03-23,205.70000000000005,2079,2429.0399999999995,5523.104,5141.8189999999995,42.080000000000005
2016-03-24,175.49999999999997,1932,2429.29,14477.610999999999,13824.502000000002,64.08999999999999
2016-03-25,171.59999999999997,1801,2436.0699999999993,13579.899000000001,12954.99,53.349999999999994
2016-03-26,206.10000000000002,1833,2422.1600000000003,17755.12,17003.785,37.42000000000001
2016-03-27,195.30000000000004,1967,2415.39,21984.913999999997,21095.465999999997,11.909999999999998
2016-03-28,185.80000000000004,1856,2435.31,15309.761000000004,14649.016000000003,15.74
2016-03-29,243.1,1494,2434.1499999999996,16657.421,15955.188999999998,15.02
2016-03-30,267.9,1651,2426.4,11360.074999999999,10823.632000000001,20.46
2016-03-31,290.29999999999995,1793,2428.08,23079.605,22132.429,17.74
2016-04-01,272.7,1836,2431.87,6702.096,6287.2699999999995,14.840000000000002
2016-04-02,253.89999999999998,1735,2429.5199999999995,11923.306,11363.69,13.97
2016-04-03,253.59999999999997,1993,2420.91,9614.098,9111.426000000001,20.56
2016-04-04,239.79999999999998,1816,2432.6199999999994,8110.977000000001,7646.993000000001,15.91
2016-04-05,207.70000000000005,2094,2459.3000000000006,16930.546000000002,16196.162999999999,17.150000000000002
2016-04-06,271.70000000000005,1822,2452.23,21513.220999999998,20614.773999999998,16.15
2016-04-07,312.2,1750,2423.19,14758.317000000003,14092.762999999999,14.600000000000001
2016-04-08,322.09999999999997,1787,2410.69,20787.805999999997,19913.423,16.87
2016-04-09,244.99999999999997,1992,2407.4500000000003,15110.799,14433.748,16.33
2016-04-10,232.79999999999995,1973,2413.1500000000005,9331.839000000002,8824.008,17.949999999999996
2016-04-11,266.2,1667,2425.54,19862.503999999997,19007.005,15.709999999999997
2016-04-12,228.0,1911,2423.4300000000003,15802.395,15102.122000000001,20.12
2016-04-13,220.3,1876,2416.6900000000005,15351.567,14657.567,14.29
2016-04-14,223.0,1858,2403.26,23100.228,22137.888,37.43
2016-04-15,237.79999999999998,1900,2440.0900000000006,24188.989999999998,23180.470999999998,37.92
2016-04-16,259.49999999999994,1735,2447.04,14364.687,13710.609,26.040000000000006
2016-04-17,327.20000000000005,1550,2438.13,25234.701999999994,24195.504000000004,21.21
2016-04-18,409.29999999999984,1386,2425.96,11416.616,10870.522,14.98
2016-04-19,405.5,1457,2418.56,24277.543,23282.827,12.580000000000002
2016-04-20,426.0,1444,2405.2,25353.459999999995,24323.778,14.920000000000002
2016-04-21,341.1,1769,2400.1000000000004,23785.734999999997,22810.218999999994,16.379999999999995
2016-04-22,318.7,1901,2396.0,19599.810999999998,18784.937,12.939999999999998
2016-04-23,302.90000000000003,1779,2418.1199999999994,4129.2,3759.199,11.899999999999999
2016-04-24,251.00000000000003,1728,2422.62,18870.328999999998,18076.779,11.440000000000001
2016-04-25,255.79999999999993,1485,2434.59,23705.92,22738.706,11.780000000000001
2016-04-26,218.7,1638,2428.06,25422.539999999997,24391.618000000002,11.709999999999999
2016-04-27,269.1,1592,2421.6500000000005,26017.216999999997,24962.782,21.860000000000003
2016-04-28,299.19999999999993,1615,2425.99,24545.638999999996,23551.826,27.1
2016-04-29,296.9,1485,2428.8700000000003,25638.314999999995,24599.288999999997,23.85
2016-04-30,282.29999999999995,1675,2446.48,25240.872,24217.936999999998,27.91999999999999
2016-05-01,339.90000000000003,1519,2430.98,24181.780000000002,23185.587,18.499999999999996
2016-05-02,446.6000000000001,1177,2415.33,19093.691,18266.538,17.049999999999997
2016-05-03,381.9,1580,2421.9400000000005,10625.498000000001,10079.608,18.279999999999998
2016-05-04,278.0,1906,2425.23,9376.253999999999,8862.104,18.919999999999998
2016-05-05,308.7000000000001,1600,2423.71,23861.513000000003,22883.394,15.03
2016-05-06,395.09999999999997,1217,2425.1900000000005,25142.079,24106.893,15.860000000000003
2016-05-07,355.29999999999995,1500,2412.67,20252.592999999997,19388.568,18.57
2016-05-08,281.4,1753,2414.99,16007.248999999998,15303.558,16.59
2016-05-09,296.00000000000006,1588,2427.35,23006.743999999995,22035.135000000002,19.465000000000003
2016-05-10,338.20000000000005,1444,2437.8599999999997,18157.612999999998,17377.993000000002,18.93
2016-05-11,318.0,1613,2424.71,18660.853999999996,17839.102999999996,21.03
2016-05-12,320.7,1773,2420.75,22670.336,21718.325,17.279999999999998
2016-05-13,406.4,1449,2418.85,23308.738,22336.221999999998,19.77
2016-05-14,274.1,1379,1910.3299999999995,6308.029,5960.794999999999,18.46
2016-05-15,320.2000000000001,1838,2418.42,17508.737000000005,16734.448,23.160000000000004
2016-05-16,318.20000000000005,1654,2434.5699999999993,23423.311000000005,22438.54,16.18
2016-05-17,309.2,1776,2440.0899999999992,20244.024000000005,19366.482000000004,19.04
2016-05-18,324.80000000000007,1617,2423.5899999999997,25546.134,24491.079,15.48
2016-05-19,280.9,1692,2410.8299999999995,21951.843999999994,21029.472000000005,15.130000000000004
2016-05-20,294.09999999999997,1734,2406.2899999999995,9345.353000000001,8814.363999999998,13.64
2016-05-21,306.4,1785,2402.47,17634.310999999998,16849.577999999998,14.58
2016-05-22,354.3,1463,2410.4100000000008,10764.746000000001,10192.885,19.259999999999998
2016-05-23,320.0,1745,2413.4500000000003,23088.302,22114.273999999998,17.319999999999997
2016-05-24,346.6000000000001,1714,2417.8499999999995,10659.313,10085.266000000003,23.24
2016-05-25,340.0,1681,2428.18,15746.307999999999,15025.315,18.060000000000002
2016-05-26,307.2,1663,2431.5099999999998,22331.862,21362.742,16.83
2016-05-27,291.79999999999995,1596,2429.3599999999997,24504.703999999998,23465.603,18.2
2016-05-28,275.99999999999994,2127,2421.05,19413.015,18558.441,17.6
2016-05-29,326.90000000000003,1585,2429.5399999999995,25270.438,24204.14,13.959999999999999
2016-05-30,327.8999999999999,1632,2441.8000000000006,9681.515000000001,9133.029999999999,14.27
2016-05-31,392.19999999999993,1453,2426.7599999999993,24498.446999999996,23461.386,19.98
2016-06-01,387.79999999999995,1624,2413.31,21955.654,20984.208,18.59
