date,temperature,humidity,pressure,dc_output,ac_output,energy_kWh
2019-11-29,-16.100000000000005,1581.0,2431.09,7281.9039999999995,6952.2119999999995,2.1700000000000004
2019-11-30,-18.399999999999995,1751.0,2442.7000000000003,1443.416,1260.1860000000001,2.1700000000000004
2019-12-01,14.8,1917.0,2435.6,7402.285000000001,7058.040000000001,2.1200000000000006
2019-12-02,84.10000000000001,2317.0,2448.2099999999996,1671.0510000000002,1483.197,3.25
2019-12-03,177.10000000000002,2207.0,2441.8399999999997,4946.929,4672.842,2.809999999999999
2019-12-04,178.6,2170.0,2429.5699999999997,1265.1870000000001,1085.485,2.1700000000000004
2019-12-05,122.20000000000003,2089.0,2440.13,7391.037,7055.153,2.1300000000000003
2019-12-06,163.5,2284.0,2428.9199999999996,10277.354,9865.648,2.1900000000000004
2019-12-07,200.7,2302.0,2417.1600000000003,3462.048,3236.1110000000003,2.4
2019-12-08,172.79999999999995,2257.0,2442.9000000000005,9302.506,8921.601,2.2700000000000005
2019-12-09,130.9,2201.0,2457.5899999999997,2964.0899999999997,2748.943,2.7600000000000002
2019-12-10,91.7,2282.0,2448.1900000000005,2168.005,1967.4740000000002,6.509999999999998
2019-12-11,165.1,2255.0,2432.6700000000005,955.6560000000001,781.991,5.589999999999996
2019-12-12,161.79999999999998,2215.0,2423.54,919.254,746.281,2.6800000000000006
2019-12-13,141.70000000000002,2229.0,2440.3200000000006,1715.419,1526.1100000000001,2.7600000000000007
2019-12-14,125.59999999999997,2199.0,2438.12,843.965,672.432,2.450000000000001
2019-12-15,90.60000000000001,2138.0,2450.7,4749.529,4484.188,3.64
2019-12-16,103.8,2100.0,2462.2299999999996,5636.984,5342.762,3.4999999999999996
2019-12-17,150.99999999999997,2167.0,2444.5600000000004,3383.148,3153.233,3.960000000000001
2019-12-18,167.3,1960.0,2420.88,6424.369,6118.725,3.46
2019-12-19,140.90000000000003,2158.0,2409.9799999999996,3187.25,2960.877,5.0
2019-12-20,172.49999999999997,2271.0,2413.2,5494.324999999999,5215.666000000001,6.49
2019-12-21,128.5,2266.0,2420.4100000000003,3268.033,3043.2280000000005,6.4799999999999995
2019-12-22,115.99999999999999,2131.0,2422.5,1882.977,1690.2250000000001,4.8950000000000005
2019-12-23,99.5,2075.0,2434.1099999999997,12635.117999999999,12144.135000000002,11.329999999999998
2019-12-24,99.39999999999998,2056.0,2425.5900000000006,1388.557,1206.197,9.120000000000001
2019-12-25,86.59999999999998,2115.0,2435.7799999999997,1233.5149999999999,1054.401,5.34
2019-12-26,46.599999999999994,2068.0,2445.28,10043.914,9634.489,4.1450000000000005
2019-12-27,98.00000000000001,2150.0,2447.35,4007.0339999999997,3762.96,4.960000000000001
2019-12-28,127.8,2171.0,2453.0099999999993,1385.535,1206.498,4.650000000000001
2019-12-29,167.10000000000002,2128.0,2443.2800000000007,6743.449999999999,6427.44,7.78
2019-12-30,174.2,2289.0,2458.0199999999995,2113.975,1894.185,5.65
2019-12-31,193.30000000000004,2242.0,2420.55,3806.31,3546.863,7.085
2020-01-01,198.89999999999998,1991.0,2411.8499999999995,4130.735999999999,3863.141,5.3999999999999995
2020-01-02,105.30000000000003,1984.0,2439.52,13555.077,13020.662999999999,7.8500000000000005
2020-01-03,217.99999999999997,1935.0,2417.59,14369.589999999998,13807.356,4.95
2020-01-04,152.6,1911.0,2443.0099999999998,14049.7,13474.96,2.9199999999999995
2020-01-05,148.30000000000004,1930.0,2450.46,13921.015000000001,13354.079,9.350000000000001
2020-01-06,104.99999999999997,2247.0,2445.32,1742.731,1531.454,4.380000000000001
2020-01-07,191.20000000000002,2258.0,2415.97,3454.2659999999996,3188.676,3.919999999999999
2020-01-08,110.70000000000002,1707.0,2420.57,5990.694,5664.196,4.96
2020-01-09,51.0,1965.0,2447.44,1811.7829999999997,1595.497,7.8
2020-01-10,52.800000000000004,2236.0,2419.37,1137.832,937.8169999999999,6.02
2020-01-11,112.89999999999999,1927.0,2414.42,1152.2079999999999,951.489,6.420000000000001
2020-01-12,44.0,2112.0,2400.47,1910.2230000000002,1689.0919999999996,6.81
2020-01-13,-120.4,1742.0,2428.23,1572.8260000000002,1358.342,5.12
2020-01-14,-172.2,1790.0,2433.5,1031.291,827.451,6.670000000000001
2020-01-15,-122.49999999999999,2047.0,2414.5000000000005,1826.2390000000003,1603.333,6.66
2020-01-16,-6.5,1952.0,2405.81,985.4930000000002,782.6410000000001,8.569999999999999
2020-01-17,-10.299999999999999,2052.0,2444.53,6354.936,5998.877,5.11
2020-01-18,76.3,2142.0,2445.100000000001,9537.596000000001,9096.990000000002,4.48
2020-01-19,151.4,2202.0,2449.4,14153.334999999997,13581.107,5.92
2020-01-20,173.60000000000002,2171.0,2427.0,9165.468,8739.880000000001,5.32
2020-01-21,173.9,2081.0,2408.1199999999994,15387.465,14773.331000000002,5.499999999999999
2020-01-22,151.1,2215.0,2432.6200000000003,4253.099,3965.1569999999992,8.75
2020-01-23,207.79999999999998,2294.0,2425.34,5415.161999999999,5092.977000000001,7.149999999999999
2020-01-24,211.7,2161.0,2425.07,15335.806,14725.309,5.050000000000002
2020-01-25,181.6,2212.0,2433.94,9141.141,8719.767,5.710000000000001
2020-01-26,203.49999999999997,2007.0,2425.859999999999,4955.909000000001,4639.9310000000005,6.199999999999998
2020-01-27,175.9,1981.0,2439.31,9384.655999999999,8974.151,5.01
2020-01-28,156.9,2187.0,2436.47,4673.355,4393.296,4.970000000000001
2020-01-29,189.99999999999994,2176.0,2445.0099999999993,4937.022,4654.37,7.449999999999999
