date,hour,energy_kWh
2017-11-11,5,0.11
2017-11-11,6,0.09
2017-11-11,7,0.09
2017-11-11,8,0.09
2017-11-11,9,0.36
2017-11-11,10,0.15
2017-11-11,11,0.08
2017-11-11,12,0.4
2017-11-11,13,0.49
2017-11-11,14,0.44
2017-11-11,15,0.43
2017-11-11,16,0.3
2017-11-11,17,0.54
2017-11-11,18,0.37
2017-11-11,19,0.68
2017-11-11,20,1.28
2017-11-11,21,0.3
2017-11-11,22,0.35
2017-11-11,23,0.34
2017-11-12,0,0.19
2017-11-12,1,0.1
2017-11-12,2,0.11
2017-11-12,3,0.11
2017-11-12,4,0.11
2017-11-12,5,0.09
2017-11-12,6,0.09
2017-11-12,7,0.1
2017-11-12,8,0.09
2017-11-12,9,0.09
2017-11-12,10,0.09
2017-11-12,11,0.11
2017-11-12,12,0.67
2017-11-12,13,0.37
2017-11-12,14,1.29
2017-11-12,15,1.29
2017-11-12,16,0.54
2017-11-12,17,0.71
2017-11-12,18,0.45
2017-11-12,19,0.42
2017-11-12,20,0.69
2017-11-12,21,0.96
2017-11-12,22,0.71
2017-11-12,23,0.34
2017-11-13,0,0.12
2017-11-13,1,0.1
2017-11-13,2,0.11
2017-11-13,3,0.09
2017-11-13,4,0.09
2017-11-13,5,0.18
2017-11-13,6,0.23
2017-11-13,7,0.18
2017-11-13,8,0.12
2017-11-13,9,0.13
2017-11-13,10,0.16
2017-11-13,11,0.14
2017-11-13,12,0.36
2017-11-13,13,0.25
2017-11-13,14,0.43
2017-11-13,15,0.35
2017-11-13,16,0.4
2017-11-13,17,0.31
2017-11-13,18,0.88
2017-11-13,19,0.71
2017-11-13,20,0.39
2017-11-13,21,0.59
2017-11-13,22,0.33
2017-11-13,23,0.25
2017-11-14,0,0.12
2017-11-14,1,0.2
2017-11-14,2,0.26
2017-11-14,3,0.1
2017-11-14,4,0.18
2017-11-14,5,0.13
2017-11-14,6,0.22
2017-11-14,7,0.19
2017-11-14,8,0.3
2017-11-14,9,0.09
2017-11-14,10,0.1
2017-11-14,11,0.11
2017-11-14,12,0.09
2017-11-14,13,0.09
2017-11-14,14,0.1
2017-11-14,15,0.09
2017-11-14,16,0.08
2017-11-14,17,0.11
2017-11-14,18,0.08
2017-11-14,19,0.28
2017-11-14,20,0.32
2017-11-14,21,0.33
2017-11-14,22,0.34
2017-11-14,23,0.39
2017-11-15,0,0.31
2017-11-15,1,0.2
2017-11-15,2,0.13
2017-11-15,3,0.12
2017-11-15,4,0.13
2017-11-15,5,0.11
2017-11-15,6,0.12
2017-11-15,7,0.11
2017-11-15,8,0.21
2017-11-15,9,0.09
2017-11-15,10,0.09
2017-11-15,11,0.1
2017-11-15,12,0.08
2017-11-15,13,0.09
2017-11-15,14,0.08
2017-11-15,15,0.09
2017-11-15,16,0.09
2017-11-15,17,0.1
2017-11-15,18,0.09
2017-11-15,19,0.08
2017-11-15,20,0.09
2017-11-15,21,0.2
2017-11-15,22,0.32
2017-11-15,23,0.27
2017-11-16,0,0.25
2017-11-16,1,0.25
2017-11-16,2,0.25
2017-11-16,3,0.25
2017-11-16,4,0.22
2017-11-16,5,0.08
2017-11-16,6,0.1
2017-11-16,7,0.16
2017-11-16,8,0.24
2017-11-16,9,0.1
2017-11-16,10,0.08
2017-11-16,11,0.09
2017-11-16,12,0.1
2017-11-16,13,0.08
2017-11-16,14,0.1
2017-11-16,15,0.09
2017-11-16,16,0.08
2017-11-16,17,0.1
2017-11-16,18,0.39
2017-11-16,19,0.67
2017-11-16,20,0.49
2017-11-16,21,0.34
2017-11-16,22,0.15
2017-11-16,23,0.11
2017-11-17,0,0.24
2017-11-17,1,0.1
2017-11-17,2,0.1
2017-11-17,3,0.19
2017-11-17,4,0.15
2017-11-17,5,0.09
2017-11-17,6,0.15
2017-11-17,7,0.27
2017-11-17,8,0.12
2017-11-17,9,0.09
2017-11-17,10,0.08
2017-11-17,11,0.09
2017-11-17,12,0.09
2017-11-17,13,0.08
2017-11-17,14,0.09
2017-11-17,15,0.09
2017-11-17,16,0.1
2017-11-17,17,0.16
2017-11-17,18,0.94
2017-11-17,19,0.56
2017-11-17,20,2.11
2017-11-17,21,0.7
2017-11-17,22,0.89
2017-11-17,23,0.29
2017-11-18,0,0.26
2017-11-18,1,0.19
2017-11-18,2,0.1
2017-11-18,3,0.1
2017-11-18,4,0.09
2017-11-18,5,0.09
2017-11-18,6,0.1
2017-11-18,7,0.14
2017-11-18,8,0.09
2017-11-18,9,0.1
2017-11-18,10,0.09
2017-11-18,11,0.09
2017-11-18,12,0.1
2017-11-18,13,0.08
2017-11-18,14,0.1
2017-11-18,15,0.13
2017-11-18,16,0.27
2017-11-18,17,0.64
2017-11-18,18,0.29
2017-11-18,19,0.1
2017-11-18,20,0.08
2017-11-18,21,0.1
2017-11-18,22,0.1
2017-11-18,23,0.1
2017-11-19,0,0.09
2017-11-19,1,0.09
2017-11-19,2,0.1
2017-11-19,3,0.08
2017-11-19,4,0.1
2017-11-19,5,0.1
2017-11-19,6,0.1
2017-11-19,7,0.1
2017-11-19,8,0.09
2017-11-19,9,0.1
2017-11-19,10,0.1
2017-11-19,11,0.13
2017-11-19,12,0.1
2017-11-19,13,0.48
2017-11-19,14,0.63
2017-11-19,15,0.52
2017-11-19,16,0.35
2017-11-19,17,0.78
2017-11-19,18,0.29
2017-11-19,19,0.33
2017-11-19,20,0.3
2017-11-19,21,0.25
2017-11-19,22,0.37
2017-11-19,23,0.5
2017-11-20,0,0.65
2017-11-20,1,0.31
2017-11-20,2,0.25
2017-11-20,3,0.3
2017-11-20,4,0.29
2017-11-20,5,0.27
2017-11-20,6,0.28
2017-11-20,7,0.36
2017-11-20,8,0.23
2017-11-20,9,0.09
2017-11-20,10,0.13
2017-11-20,11,0.2
2017-11-20,12,0.1
2017-11-20,13,0.14
2017-11-20,14,0.24
2017-11-20,15,0.36
2017-11-20,16,0.5
2017-11-20,17,1.76
2017-11-20,18,1.74
2017-11-20,19,0.51
2017-11-20,20,0.43
2017-11-20,21,0.52
2017-11-20,22,0.26
2017-11-20,23,0.22
2017-11-21,0,0.11
2017-11-21,1,0.11
2017-11-21,2,0.09
2017-11-21,3,0.15
2017-11-21,4,0.27
2017-11-21,5,0.27
2017-11-21,6,0.18
2017-11-21,7,0.23
2017-11-21,8,0.19
2017-11-21,9,0.11
2017-11-21,10,0.1
2017-11-21,11,0.1
2017-11-21,12,0.1
2017-11-21,13,0.12
2017-11-21,14,0.12
2017-11-21,15,0.14
2017-11-21,16,0.1
2017-11-21,17,0.31
2017-11-21,18,1.47
2017-11-21,19,1.07
2017-11-21,20,0.42
2017-11-21,21,0.31
2017-11-21,22,0.3
2017-11-21,23,0.22
2017-11-22,0,0.11
2017-11-22,1,0.1
2017-11-22,2,0.17
2017-11-22,3,0.21
2017-11-22,4,0.15
2017-11-22,5,0.2
2017-11-22,6,0.13
2017-11-22,7,0.14
2017-11-22,8,0.25
2017-11-22,9,0.11
2017-11-22,10,0.11
2017-11-22,11,0.09
2017-11-22,12,0.08
2017-11-22,13,0.11
2017-11-22,14,0.11
2017-11-22,15,0.1
2017-11-22,16,0.09
2017-11-22,17,0.12
2017-11-22,18,0.5
2017-11-22,19,0.66
2017-11-22,20,0.46
2017-11-22,21,0.27
2017-11-22,22,0.36
2017-11-22,23,0.25
2017-11-23,0,0.12
2017-11-23,1,0.12
2017-11-23,2,0.09
2017-11-23,3,0.11
2017-11-23,4,0.1
2017-11-23,5,0.08
2017-11-23,6,0.17
2017-11-23,7,0.08
2017-11-23,8,0.18
2017-11-23,9,0.08
2017-11-23,10,0.1
2017-11-23,11,0.08
2017-11-23,12,0.1
2017-11-23,13,0.08
2017-11-23,14,0.12
2017-11-23,15,0.08
2017-11-23,16,0.1
2017-11-23,17,0.75
2017-11-23,18,0.59
2017-11-23,19,0.84
2017-11-23,20,0.52
2017-11-23,21,0.35
2017-11-23,22,0.32
2017-11-23,23,0.14
2017-11-24,0,0.1
2017-11-24,1,0.08
