Residential,R2Score,Loss,Val_Loss,Time
1,0.8784419985809881,0.0016294461674988,0.001934141269885,0 days 00:04:25.200511
2,0.8873889764629209,0.0013634928036481,0.001302900025621,0 days 00:03:15.935090
3,0.6919802684871025,0.0026561231352388,0.0024457792751491,0 days 00:00:53.212022
4,0.9411556241606523,0.0015530181117355,0.0015193929430097,0 days 00:04:02.905933
5,0.8960829523735889,0.0012261009542271,0.0012371126795187,0 days 00:03:58.166326
6,0.8003334197375295,0.0014520529657602,0.0023665039334446,0 days 00:00:29.726978
7,0.8799095231567787,0.0012519750744104,0.0008775909664109,0 days 00:03:30.547044
8,0.8954257606913668,0.001293713808991,0.0015353014459833,0 days 00:03:44.261182
9,0.9301172255224208,0.0005821876693516,0.0004560985835269,0 days 00:03:57.681119
10,0.8847692418250075,0.0009756560903042,0.0009788260795176,0 days 00:03:30.117459
11,0.9279804798705348,0.000834945065435,0.0008514196961186,0 days 00:04:02.944887
12,0.8189787727906713,0.0003860341093968,0.0003334722132422,0 days 00:03:41.968322
13,0.9201668079556132,0.0014254584675654,0.0013942568330094,0 days 00:03:51.512062
14,0.8968892811012945,0.0004182346747256,0.0005436312640085,0 days 00:03:54.449374
15,0.9607596769733524,0.0007415548898279,0.00111079972703,0 days 00:02:04.303289
16,0.9084895756901302,0.0012924134498462,0.0023561269044876,0 days 00:01:31.891126
17,0.8993265759070842,0.00183222128544,0.0029463614337146,0 days 00:00:20.675823
18,0.9149896814183964,0.0008419214282184,0.0012998500606045,0 days 00:02:57.957335
19,0.9550096920824946,0.0011294606374576,0.0013085919199511,0 days 00:03:46.831602
20,0.9303442518015144,0.000785827927757,0.0007938872440718,0 days 00:00:49.751894
21,0.8977386275651039,0.001653893967159,0.0011060874676331,0 days 00:00:17.063883
22,-0.6829200533098143,0.0130049232393503,0.0150725301355123,0 days 00:00:20.340218
23,0.92307477256478,0.0007788462098687,0.0013492110883817,0 days 00:01:38.262087
24,0.8634873151685243,0.0011952905915677,0.001209185225889,0 days 00:03:23.292234
25,0.8943435448077736,0.0012672796146944,0.0012919896980747,0 days 00:03:56.918998
26,0.8900868574397093,0.0012039033463224,0.0009670826839283,0 days 00:00:38.216000
27,0.9540044788708194,0.0007783966138958,0.0011053804773837,0 days 00:01:29.005999
28,0.9467036674772163,0.0008391449810005724,0.0009208667906932533,0 days 00:01:18.031001
